name,family,description,n_test,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,f1_non_hate,f1_offensive,f1_hate
exp1_tfidf_baseline,classical,"TF-IDF word 1-2grams + LogReg, minimal preprocessing",216,0.5277777777777778,0.5096366738931094,0.5093945477291902,0.5099217243997898,0.5278024563157828,0.6210526315789474,0.4592592592592592,0.4485981308411215
exp2_tfidf_preproc,classical,"TF-IDF word 1-2grams + LogReg, full preprocessing",216,0.5416666666666666,0.524414462111912,0.5243176921813562,0.5246276067527309,0.5422912312559244,0.6276595744680851,0.4927536231884058,0.4528301886792453
exp3_tfidf_char_ngram,classical,"TF-IDF char 3-5grams + LogReg, full preprocessing",216,0.6666666666666666,0.6460274074487272,0.6491915211080296,0.6444067994625854,0.6643630856828826,0.751269035532995,0.6153846153846154,0.5714285714285714
exp4_tfidf_svm,classical,TF-IDF char 3-5grams + Linear SVM (calibrated),216,0.6666666666666666,0.6427123628180018,0.6559972199802707,0.6374466966528418,0.6601092457473181,0.7536231884057971,0.5826771653543307,0.5918367346938775
exp7_llm_zeroshot,llm,Aya-Expanse-8B zero-shot,216,0.3935185185185185,0.3544020768140788,0.4428225108225108,0.4108777771287263,0.3654359335053154,0.4767441860465116,0.1707317073170731,0.4157303370786517
exp8_llm_fewshot,llm,Aya-Expanse-8B 5-shot per class (15 examples in-context),216,0.4861111111111111,0.3925438143674317,0.526147527100271,0.4518488229452654,0.4237678053406338,0.6547085201793722,0.1081081081081081,0.4148148148148148
exp5_mbert,transformer,"mBERT fine-tuned, 5 epochs, bs 16, lr 2e-5",216,0.5925925925925926,0.556844492182838,0.5616752852595625,0.5576805498763557,0.588920382968002,0.7263157894736842,0.54421768707483,0.4
exp6_xlmr,transformer,"XLM-RoBERTa-base fine-tuned, 5 epochs, bs 16, lr 2e-5",216,0.5138888888888888,0.43087129588677575,0.4422207479483021,0.4465476955429639,0.4793884220354809,0.6842105263157895,0.42016806722689076,0.18823529411764706
